,기업명,설립연도,매출액,사원수,업종분류,기업규모,주소,기업 홈페이지 URL
363,어밸브,2019.0,95198.0,6.0,개인서비스,중소기업,서울특별시 서초구,www.avalve.co.kr/
365,메디허브,2008.0,332694.0,,연구개발업,,,www.himh.co.kr
375,솔로몬텍,2012.0,5483127.0,510.0,소프트웨어·솔루션·ASP,중소기업,서울특별시 영등포구,www.solomontech.net
379,디웨이브,2020.0,2.0,2.0,개인서비스,중소기업,서울특별시 강남구,clicksound.kr
380,캐논크래커,2021.0,,50.0,인터넷·포털·컨텐츠·게임,중소기업,서울특별시 성동구,www.cannoncracker.com
386,마카롱팩토리,2015.0,1023093.0,,모바일·무선,중소기업,경기도 성남시 수정구,macarong.net
389,프리윌린,2017.0,913477.0,60.0,네트워크·통신,중소기업,서울특별시 관악구,www.mathflat.com
403,이터널,2021.0,1200000.0,1.0,도매·상품중개,중소기업,서울특별시 송파구,etunnel.net/
406,크라우드웍스,2017.0,1068913.0,140.0,네트워크·통신,중소기업,서울특별시 강남구,www.crowdworks.ai
421,한국선불카드,2011.0,1304004.0,51.0,소프트웨어·솔루션·ASP,중소기업,경기도 성남시 분당구,www.kpcard.co.kr
422,대교,1986.0,,2240.0,학원·학습지,중견기업,서울특별시 관악구,recruit.daekyo.com/
435,소만사,1997.0,5350140.0,329.0,소프트웨어·솔루션·ASP,중소기업,서울특별시 영등포구,www.somansa.com
436,에이지엘,2003.0,10837397.0,61.0,항공운송,중소기업,서울특별시 강서구,www.agl.co.kr
437,아이브,2017.0,1140000.0,29.0,도매·상품중개,중소기업,경기도 고양시 일산동구,www.ivg.co.kr
442,플라잎,2020.0,,20.0,소프트웨어·솔루션·ASP,중소기업,경기도 성남시 분당구,www.plaif.com
444,인덴트코퍼레이션,2018.0,63740.0,,소프트웨어·솔루션·ASP,중소기업,,
462,에드워드코리아,1992.0,102365598.0,1441.0,기계·조선·자동차·운송장비,중견기업,천안시 서북구,www.edwardsvacuum.com
464,투블럭에이아이,2019.0,14189.0,10.0,소프트웨어·솔루션·ASP,중소기업,,
471,엘리스,2005.0,1942842.0,30.0,가구·목재·펄프·종이,중소기업,경상남도 김해시,www.elis.co.kr
472,에코마케팅,2003.0,5218559.0,287.0,방송·광고·영상·오디오,중소기업,서울특별시 강남구,www.echomarketing.co.kr
478,로완,2017.0,20718.0,,소프트웨어·솔루션·ASP,중소기업,서울특별시 중구,rowan.kr
484,엘박스,2019.0,88179.0,,소프트웨어·솔루션·ASP,중소기업,서울특별시 강남구,lbox.kr
490,글로벌리어,2015.0,38722.0,54.0,소프트웨어·솔루션·ASP,중소기업,서울특별시 금천구,www.dotincorp.com
496,아이트럭,2018.0,510000.0,1.0,물류,중소기업,,
505,아데나소프트웨어,2016.0,2472629.0,116.0,소프트웨어·솔루션·ASP,중소기업,서울특별시 강남구,www.adenasoft.com
530,한화비전,2018.0,80408711.0,895.0,전기·전자·반도체,대기업,경기도 성남시 분당구,www.hanwha-security.com
531,르몽,2015.0,,50.0,식음료·외식(프랜차이즈),중소기업,,
536,아일로,2009.0,,7.0,섬유·의복·모피,중소기업,서울특별시 강남구,the_aisle_official
556,인프랩,2017.0,1757695.0,65.0,교육·연구및개발,중소기업,경기도 성남시 분당구,www.inflearn.com
582,페칭,2019.0,8891.0,6.0,소프트웨어·솔루션·ASP,중소기업,서울특별시 서초구,www.fetching.co.kr
583,마인드허브,2019.0,26255.0,2.0,소프트웨어·솔루션·ASP,중소기업,경기도 안양시 동안구,mindhub.ai
590,비디오몬스터,2015.0,102751.0,24.0,소프트웨어·솔루션·ASP,중소기업,서울특별시 중구,www.videomonster.com
610,갤럭시아머니트리,1994.0,11018842.0,148.0,소프트웨어·솔루션·ASP,대기업,서울특별시 강남구,www.galaxiamoneytree.co.kr
613,제노솔루션,,,,용역·인력알선,소기업,,
620,라이드,,,,네트워크·통신,,,
623,네이처프라임,2018.0,1577370.0,18.0,도매·상품중개,중소기업,경기도 포천시,www.natureprime.co.kr
635,뱅크샐러드,2012.0,437092.0,203.0,소프트웨어·솔루션·ASP,중소기업,서울특별시 영등포구,www.banksalad.com
638,플레어랩스,2022.0,,1.0,소프트웨어·솔루션·ASP,중소기업,서울특별시 강남구,flarelane.co.kr
646,번개장터,2022.0,1498.0,5.0,쇼핑몰·전자상거래·오픈마켓,중소기업,,
667,이온어스,2020.0,129961.0,18.0,전기·전자·반도체,중소기업,,
689,플래티어,2005.0,4995714.0,278.0,소프트웨어·솔루션·ASP,중소기업,서울특별시 송파구,www.plateer.com
694,씨엔알리서치,2022.0,,,의약·보건·사회복지,중소기업,,
701,아이오바이오,2011.0,119139.0,34.0,의료·정밀·시계·광학기기,중소기업,서울특별시 강남구,www.aiobio.co.kr
703,경우시스테크,1999.0,2589469.0,86.0,전기·전자·반도체,중소기업,서울특별시 금천구,www.kyungwoo.com
704,아이알큐더스,2000.0,545996.0,76.0,법률·회계,중소기업,서울특별시 영등포구,www.irkudos.co.kr
707,바이온사이트,2019.0,,14.0,연구개발업,중소기업,서울특별시 성동구,bionsight.com
710,유니드컴즈,2014.0,421815.0,36.0,소프트웨어·솔루션·ASP,중소기업,서울특별시 마포구,www.uneedcomms.com
731,현대캐피탈,1993.0,302622574.0,2175.0,은행·카드·투자기관,대기업,서울특별시 영등포구,www.hyundaicapital.com
738,미스터블루,2022.0,,6.0,언론·출판·신문·잡지,중소기업,전라남도 순천시,studio365.kr
741,한국평가정보,1986.0,,2240.0,학원·학습지,중견기업,서울특별시 관악구,recruit.daekyo.com/
750,드랩,2020.0,51564.0,3.0,소프트웨어·솔루션·ASP,중소기업,경기도 부천시,www.tedlab.kr
760,포커스미디어코리아,2017.0,7341869.0,237.0,방송·광고·영상·오디오,중견기업,서울특별시 영등포구,www.focusmediakorea.com
791,컴투스플랫폼,2016.0,2586867.0,140.0,개인서비스,중견기업,서울특별시 금천구,www.com2usplatform.com
798,에이아이썸,2013.0,214443.0,18.0,인터넷·포털·컨텐츠·게임,중소기업,서울특별시 강남구,www.piclick.me
816,일만백만,2021.0,36900.0,2.0,소프트웨어·솔루션·ASP,중소기업,,
821,로위랩코리아,2019.0,84093.0,12.0,방송·광고·영상·오디오,중소기업,서울특별시 강남구,rowilab.com
822,퀀티파이드이에스지,2019.0,158421.0,,소프트웨어·솔루션·ASP,중소기업,서울특별시 종로구,qesg.co.kr
