,기업명,주소,업종분류,설립연도,기업홈페이지URL
0,줌인터넷,서울특별시 서초구,"자료 처리, 호스팅, 포털 및 기타 인터넷 정보 매개 서비스업",2016,www.zuminternet.com
0,지니언스,경기도 안양시 동안구,시스템 소프트웨어 개발 및 공급업,2005,www.genians.co.kr/
0,유와이즈원,서울특별시 강남구,그 외 기타 정보 서비스업,2011,
0,앤트,서울특별시 강남구,게임 소프트웨어 개발 및 공급업,2007,www.krafton.com
0,아백,서울특별시 영등포구,기타 금융업,2016,
0,씨알에스큐브,서울특별시 마포구,응용 소프트웨어 개발 및 공급업,2011,www.crscube.io
0,잉카엔트웍스,서울특별시 강남구,시스템 소프트웨어 개발 및 공급업,2000,www.inka.co.kr
0,알스퀘어,서울특별시 강남구,부동산관련 서비스업,2009,https://www.rsquare.co.kr
0,호두랩스,서울특별시 강남구,유선 온라인 게임 소프트웨어 개발 및 공급업,2018,
0,엑스페릭스,경기도 성남시 중원구,전자 부품 제조업,2017,www.xperix.com
0,핏펫,서울특별시 강남구,응용 소프트웨어 개발 및 공급업,2017,fitpet.co.kr/
0,스페이스애드,서울특별시 강남구,옥외 및 전시 광고업,2017,spaceadd.com/
0,에이로직,경기도 성남시 분당구,전자집적회로 제조업,2004,www.3alogics.com
0,스카이랩스,경기도 성남시 분당구,그 외 기타 의료용 기기 제조업,2015,
0,머니투데이,서울특별시 종로구,신문 발행업,2023,
0,푸드테크,서울특별시 영등포구,그 외 기타 금융업,2021,
0,여기어때컴퍼니,서울특별시 강남구,포털 및 기타 인터넷 정보 매개 서비스업,2015,https://www.gccompany.co.kr
0,셀바스에이아이,서울특별시 금천구,시스템ㆍ응용 소프트웨어 개발 및 공급업,1999,www.selvasai.com
0,놀이의발견,서울특별시 마포구,전자상거래 소매 중개업,2020,https://nolbal.com/
0,더블다운인터액티브,서울특별시 강남구,유선 온라인 게임 소프트웨어 개발 및 공급업,2008,
0,링글잉글리시에듀케이션서비스,서울특별시 서초구,기타 기술 및 직업 훈련학원,2015,
0,렌딧,서울특별시 중구,소프트웨어 개발 및 공급업,2015,
0,차지비,서울특별시 중구,일반 전기 공사업,2019,www.chargev.co.kr
0,만나플래닛,서울특별시 구로구,응용 소프트웨어 개발 및 공급업,2016,
0,비로보틱스,서울특별시 강동구,산업용 로봇 제조업,1999,www.doobae.co.kr
0,마더브레인,서울특별시 서초구,광고 대행업,2009,
0,와이즈버즈,경기도 성남시 수정구,광고업,2017,www.wisebirds.co
0,탈로스,경기도 안양시 동안구,축전지 제조업,2005,www.talos.or.kr
0,에이지,서울특별시 성동구,경영 컨설팅업,2015,
0,아이디에스앤트러스트,서울특별시 강남구,시스템 소프트웨어 개발 및 공급업,1996,www.idstrust.co.kr
0,인스피언,서울특별시 금천구,컴퓨터 시스템 통합 자문 및 구축 서비스업,2009,www.inspien.co.kr
0,패스트뷰,서울특별시 강남구,응용 소프트웨어 개발 및 공급업,2019,
0,아더월드,경기도 용인시,시스템 소프트웨어 개발 및 공급업,1998,www.anotherworld.to
0,이노그리드,서울특별시 중구,시스템 소프트웨어 개발 및 공급업,2006,www.innogrid.com
0,구름,경기도 성남시 분당구,컴퓨터 프로그래밍 서비스업,2013,goorm.co
0,빅픽처인터렉티브,서울특별시 금천구,그 외 기타 정보 서비스업,2015,www.bigpi.co/
0,투스카이,서울특별시 서초구,광고 대행업,2012,nbt.com/
0,큐픽스,서울특별시 성동구,경영 컨설팅업,2015,
0,엘케이알,서울특별시 서초구,"건축 자재, 철물 및 난방장치 도매업",2002,
0,엘케이벤쳐스,전라남도 목포시,그 외 기타 일반 목적용 기계 제조업,2018,
0,모라이,서울특별시 강남구,"기타 전문, 과학 및 기술 서비스업",2018,
0,유니버스,경기도 성남시 분당구,시스템ㆍ응용 소프트웨어 개발 및 공급업,2022,
0,수성엔지니어링,경기도 안양시 만안구,건물 및 토목 엔지니어링 서비스업,1990,www.soo-sung.co.kr
0,배움,경상남도 진주시,비주거용 건물 건설업,2007,
0,투스카이,인천광역시 서구,무인 항공기 및 무인 비행장치 제조업,2017,www.intosky.co.kr
0,뉴아인,서울특별시 동대문구,자연과학 및 공학 융합 연구개발업,2017,www.nueyne.com
0,리코,서울특별시 강남구,경영 컨설팅업,2003,
0,플레이위드,서울특별시 서초구,소프트웨어 개발 및 공급업,1984,www.playwith.co.kr
0,메디허브,경기도 군포시,전기식 진단 및 요법 기기 제조업,2017,
0,솔로몬텍,서울특별시 영등포구,기타 정보 기술 및 컴퓨터 운영 관련 서비스업,2012,solomontech.net
0,넥슨코리아,경기도 성남시 분당구,게임 소프트웨어 개발 및 공급업,2005,www.nexon.com
0,스트레스솔루션,서울특별시 강남구,전자상거래 소매 중개업,2014,https://www.meatbox.co.kr/
0,티블록,서울특별시 서초구,운동 및 경기용품 도매업,2019,
0,와이오비,서울특별시 서초구,운동 및 경기용품 도매업,2019,
0,크라우드웍스,서울특별시 강남구,응용 소프트웨어 개발 및 공급업,2012,www.crowdworks.kr
0,컬리,서울특별시 강남구,소프트웨어 개발 및 공급업,2017,www.crowdworks.kr
0,모요,서울특별시 성동구,주거용 부동산 관리업,2018,www.mgrv.company
0,파더스랩,서울특별시 관악구,호텔업,2005,
0,솔로몬텍,서울특별시 강남구,유선 온라인 게임 소프트웨어 개발 및 공급업,2017,
0,에이피알,서울특별시 강남구,포털 및 기타 인터넷 정보 매개 서비스업,2015,https://www.gccompany.co.kr
0,컬리,서울특별시 영등포구,기타 정보 기술 및 컴퓨터 운영 관련 서비스업,2012,solomontech.net
0,무신사,서울특별시 송파구,그 외 기타 생활용품 도매업,2019,
0,무신사,서울특별시 관악구,호텔업,2005,
0,대교,서울특별시 성동구,통신 판매업,2012,
0,대교,경기도 성남시 분당구,시스템 소프트웨어 개발 및 공급업,2011,
0,파더스랩,대구광역시 수성구,비주거용 건물 임대업,2009,
0,씨드로닉스,서울특별시 마포구,"도장, 도배 및 내장 공사업",2022,www.vhom.co.kr/
