기관명,훈련과정명,훈련시작일자,훈련종료일자,총훈련기간,총훈련시간,취업률
한국전파진흥협회,AWS Cloud School,2024-03-26,2024-10-18,133일,총1050시간,62.1 %
(주)이젠컴퓨터아카데미안산,"(산대특)_자바 네이티브 웹&앱개발(배달,커머스,소셜 O2O서비스)_양성_육성",2024-03-26,2024-08-20,100일,총800시간,취업률(해당없음)
그린컴퓨터아트학원,"지역인재 육성을 위한 IaaS기반 JAVA백앤드개발자(자바,스프링,AWS)양성과정",2024-03-26,2024-09-25,120일,총900시간,취업률(해당없음)
인천더조은컴퓨터아트학원,(디지털컨버전스)클라우드(AWS)활용 자바(JAVA)안드로이드&IOS 앱개발(Flutter)양성과정 A,2024-03-26,2024-09-05,113일,총900시간,72.4 %
케이아이씨캠퍼스학원,[AWS클라우드 기반] 자바&스프링 활용 풀스택 개발자 양성과정,2024-03-29,2024-09-12,120일,총960시간,63.7 %
이젠아카데미컴퓨터학원,"(산대특)_AWS기반 풀스택개발(큐레이팅 커머스 프론트엔드, 백엔드개발)양성과정",2024-04-01,2024-08-23,100일,총700시간,취업률(해당없음)
더조은컴퓨터아카데미,구글 플러터(Flutter) 활용 자바(JAVA) 기반 안드로이드&iOS 앱개발자 양성과정,2024-04-01,2024-05-14,30일,총240시간,46.3 %
연세IT미래교육원(구.연세직업전문학교),"[정보시스템구축(개발,운영)] 파이썬(Python) 기반 클라우드(AWS) 보안 전문가 양성A",2024-04-01,2024-09-13,114일,총910시간,86.4 %
아이티스쿨정보보호교육원,(클라우드운영관리)클라우드 인프라 엔지니어 양성-A,2024-04-08,2024-10-04,117일,총819시간,취업률(해당없음)
글로벌아이티(IT)인재개발학원,데브옵스/MSA/컨테이너 기반의 클라우드 네이티브 엔지니어 전문가 과정,2024-04-16,2024-10-11,120일,총960시간,75.2 %
비트캠프 강남학원,(디지털컨버전스) AWS 클라우드 기반 프레임워크 융합 개발자 양성 과정 A,2024-04-25,2024-10-08,111일,총888시간,취업률(해당없음)
이젠아카데미컴퓨터학원,"풀스택 웹 개발자(자바스크립트,리액트,노드)",2024-05-08,2024-11-01,122일,총900시간,58 %
부산IT아카데미,AWS 클라우드 구축과 보안솔루션을 이용한 IDC엔지니어 양성,2024-05-20,2024-12-10,140일,총960시간,100 %
이젠컴퓨터아카데미수원,"AWS클라우드기반 CS개발자(자바,파이썬,C언어)양성",2024-05-21,2024-11-12,119일,총950시간,76.6 %
한국ICT인재개발원,지능형 도우미 서비스 융합 웹서비스 개발자 과정,2024-06-10,2024-12-31,140일,총1120시간,85.8 %
한국기술교육직업전문학교,(정보시스템구축)윈도우 및 리눅스 기반 네트워크 & 서버 보안 전문가 B,2024-06-24,2024-12-13,119일,총900시간,62.5 %
한국ICT인재개발원,[디지털컨버전스]클라우드AWS기반 자바 SW융합 웹서비스 풀스택 실무과정(1),2024-07-15,2024-12-27,113일,총900시간,85.8 %
중앙능력개발원,클라우드기반 AWS 융합 스프링부트(자바) 풀스텍 웹 개발자 양성과정 A,2024-09-24,2025-03-11,113일,총900시간,90.2 %
