,기업명,업종분류,사원수,설립연도,매출액
0,라플라스테크놀로지스,시스템ㆍ응용 소프트웨어 개발 및 공급업,7명,4년 (2020년 설립),600만원
0,인터엑스,시스템ㆍ응용 소프트웨어 개발 및 공급업,84명,4년 (2020년 설립),"37억8,791만원"
0,하이퍼커넥트,시스템ㆍ응용 소프트웨어 개발 및 공급업,336명,10년 (2014년 설립),"1,819억5,486만원"
0,파인더스에이아이,시스템ㆍ응용 소프트웨어 개발 및 공급업,,4년 (2020년 설립),179만원
0,스펙터,그 외 기타 정보 서비스업,24명,4년 (2020년 설립),-원
0,에쓰오씨소프트,시스템ㆍ응용 소프트웨어 개발 및 공급업,,29년 (1995년 설립),"82억1,571만원"
0,니어브레인,시스템ㆍ응용 소프트웨어 개발 및 공급업,,2년 (2022년 설립),-원
0,바리코퍼레이션,시스템ㆍ응용 소프트웨어 개발 및 공급업,,4년 (2020년 설립),-원
0,제이앤피메디,시스템ㆍ응용 소프트웨어 개발 및 공급업,68명,4년 (2020년 설립),"9,797만원"
0,인터엑스,시스템ㆍ응용 소프트웨어 개발 및 공급업,84명,4년 (2020년 설립),"37억8,791만원"
0,아이엠에스이,컴퓨터 프로그래밍 서비스업,9명,3년 (2021년 설립),-원
0,한국모바일결제,시스템ㆍ응용 소프트웨어 개발 및 공급업,4명,3년 (2021년 설립),-원
0,모라이,공학 연구개발업,132명,6년 (2018년 설립),"20억4,483만원"
0,한국모바일결제,시스템ㆍ응용 소프트웨어 개발 및 공급업,4명,3년 (2021년 설립),-원
0,구름,시스템ㆍ응용 소프트웨어 개발 및 공급업,123명,11년 (2013년 설립),"30억3,402만원"
0,디케이테크인,시스템ㆍ응용 소프트웨어 개발 및 공급업,655명,9년 (2015년 설립),"277억8,646만원"
0,이큐브랩,시스템ㆍ응용 소프트웨어 개발 및 공급업,48명,13년 (2011년 설립),"16억3,146만원"
0,휴런,시스템ㆍ응용 소프트웨어 개발 및 공급업,,5년 (2019년 설립),"1,942만원"
0,지엔,통신 공사업,4명,8년 (2016년 설립),"5억3,930만원"
0,더블유클럽,시스템ㆍ응용 소프트웨어 개발 및 공급업,,3년 (2021년 설립),"10억5,181만원"
0,휴맥스모빌리티,컴퓨터 프로그래밍 서비스업,112명,8년 (2016년 설립),"11억1,412만원"
0,인터엑스,시스템ㆍ응용 소프트웨어 개발 및 공급업,84명,4년 (2020년 설립),"37억8,791만원"
0,럭스소프트코리아,시스템ㆍ응용 소프트웨어 개발 및 공급업,26명,5년 (2019년 설립),"20억7,827만원"
0,에쓰오씨소프트,시스템ㆍ응용 소프트웨어 개발 및 공급업,,29년 (1995년 설립),"82억1,571만원"
0,제이앤피메디,시스템ㆍ응용 소프트웨어 개발 및 공급업,68명,4년 (2020년 설립),"9,797만원"
0,아템드메라키,기타 금융 지원 서비스업,,2년 (2022년 설립),-원
0,디케이테크인,시스템ㆍ응용 소프트웨어 개발 및 공급업,655명,9년 (2015년 설립),"277억8,646만원"
0,인터엑스,시스템ㆍ응용 소프트웨어 개발 및 공급업,84명,4년 (2020년 설립),"37억8,791만원"
0,인터엑스,시스템ㆍ응용 소프트웨어 개발 및 공급업,84명,4년 (2020년 설립),"37억8,791만원"
0,라이프페스타,시스템ㆍ응용 소프트웨어 개발 및 공급업,10명,4년 (2020년 설립),3억10만원
0,모라이,공학 연구개발업,132명,6년 (2018년 설립),"20억4,483만원"
0,알지티,산업용 로봇 제조업,,6년 (2018년 설립),"3억7,367만원"
0,크래프톤,시스템ㆍ응용 소프트웨어 개발 및 공급업,"1,536명",17년 (2007년 설립),"1조8,283억7,378만원"
0,알지티,산업용 로봇 제조업,,6년 (2018년 설립),"3억7,367만원"
0,크래프톤,시스템ㆍ응용 소프트웨어 개발 및 공급업,"1,536명",17년 (2007년 설립),"1조8,283억7,378만원"
0,우리엔,시스템ㆍ응용 소프트웨어 개발 및 공급업,55명,12년 (2012년 설립),"87억5,251만원"
0,에이에프아이,포털 및 기타 인터넷 정보 매개 서비스업,23명,7년 (2017년 설립),"3억7,352만원"
0,블루닷,통신 판매업,,4년 (2020년 설립),"2억9,767만원"
0,모라이,공학 연구개발업,132명,6년 (2018년 설립),"20억4,483만원"
0,아템드메라키,기타 금융 지원 서비스업,,2년 (2022년 설립),-원
0,와인루트,시스템ㆍ응용 소프트웨어 개발 및 공급업,7명,3년 (2021년 설립),-원
0,무신사,사무 지원 서비스업,"1,561명",12년 (2012년 설립),"4,024억4,065만원"
0,블루닷,통신 판매업,,4년 (2020년 설립),"2억9,767만원"
0,오버더핸드,게임 소프트웨어 개발 및 공급업,14명,2년 (2022년 설립),-원
0,블루닷,통신 판매업,,4년 (2020년 설립),"2억9,767만원"
0,블루닷,통신 판매업,,4년 (2020년 설립),"2억9,767만원"
0,인터엑스,시스템ㆍ응용 소프트웨어 개발 및 공급업,84명,4년 (2020년 설립),"37억8,791만원"
0,바텍,기타 특수 목적용 기계 제조업,10명,13년 (2011년 설립),"12억6,263만원"
0,블루닷,통신 판매업,,4년 (2020년 설립),"2억9,767만원"
0,디어유,시스템ㆍ응용 소프트웨어 개발 및 공급업,정보없음,7년 (2017년 설립),400억76만원
0,엘케이벤쳐스,"가방, 시계, 안경 및 기타 생활용품 도매업",,6년 (2018년 설립),-원
0,블루닷,통신 판매업,,4년 (2020년 설립),"2억9,767만원"
0,페어스퀘어랩,시스템ㆍ응용 소프트웨어 개발 및 공급업,35명,6년 (2018년 설립),-원
0,마크비전코리아,시스템ㆍ응용 소프트웨어 개발 및 공급업,117명,4년 (2020년 설립),-원
0,마크비전코리아,시스템ㆍ응용 소프트웨어 개발 및 공급업,117명,4년 (2020년 설립),-원
0,딥바이오,시스템ㆍ응용 소프트웨어 개발 및 공급업,35명,8년 (2016년 설립),"2억5,570만원"
0,쿠캣,시스템ㆍ응용 소프트웨어 개발 및 공급업,109명,10년 (2014년 설립),"434억5,290만원"
0,일루니,시스템ㆍ응용 소프트웨어 개발 및 공급업,16명,6년 (2018년 설립),"2억1,049만원"
0,메라키플레이스,시스템ㆍ응용 소프트웨어 개발 및 공급업,19명,3년 (2021년 설립),-원
0,리콘랩스,시스템ㆍ응용 소프트웨어 개발 및 공급업,41명,5년 (2019년 설립),"5,140만원"
0,다보링크,방송 및 무선 통신장비 제조업,61명,5년 (2019년 설립),-원
0,이노버스,통신 판매업,12명,4년 (2020년 설립),-원
0,코비그룹,시스템ㆍ응용 소프트웨어 개발 및 공급업,8명,6년 (2018년 설립),16억44만원
0,백금티앤에이,기타 기계 및 장비 도매업,59명,28년 (1996년 설립),"635억3,795만원"
0,가온브로드밴드,유선 통신장비 제조업,137명,4년 (2020년 설립),"2,145억3,070만원"
0,인포그랩,시스템ㆍ응용 소프트웨어 개발 및 공급업,17명,4년 (2020년 설립),-원
0,인포그랩,시스템ㆍ응용 소프트웨어 개발 및 공급업,17명,4년 (2020년 설립),-원
0,휴먼아이씨티,시스템ㆍ응용 소프트웨어 개발 및 공급업,15명,12년 (2012년 설립),"73억8,334만원"
0,아이투맥스,시스템ㆍ응용 소프트웨어 개발 및 공급업,198명,20년 (2004년 설립),"196억4,567만원"
0,한국포인트거래소,시스템ㆍ응용 소프트웨어 개발 및 공급업,20명,2년 (2022년 설립),-원
