,기업명,주소,직무,자격요건,직급,이용하는기술스택/우대사항,해당 페이지 URL
53,헤세그,서울시 서초구 매헌로6길 15 두루빌딩 4층,소프트웨어 엔지니어," 5년이상경력을쌓으신분, Go(golang)개발이익숙하신분, 이더리움노드를운영해본경험이있으신분, RDBMS와같은관계형데이터베이스를구축해보신분, Docker사용경험이있으신분, 대용량트래픽서버개발경험이있으신분",4,"• Cosmos SDK에 대한 이해도가 있으신 분, • 블록체인 개발 경험이 있으신 분 혹은 관련 지식을 보유하신 분, • gRPC를 활용한 개발 경험이 있으신 분, • Web, WAS Server 세팅 및 운영이 가능하신 분, • 팀원과의 원활한 의사소통을 즐겁게 하실 수 있는 분, • 개발팀과 함께 새로운 분야에 도전하고 배우며 성장하고자 하시는 분, • 자유롭고 수평적인 분위기를 지향하여 자기개발을 위한 자기주도 학습을 함께하시는 분",https://www.wanted.co.kr/wd/200434
54,만나컴퍼니,서울시 구로구 디지털로32길 407호,소프트웨어 엔지니어,"웹프론트엔드실무경험이5년이상인분•RESTAPI를활용한Web개발경험이있으신분•ReactJS,TypeScript에대한실무경험과이해가있는분•Unit/E2E테스트작성및배포자동화경험이있는분•프로젝트구조와디자인패턴에대한기준이있으신분•서버사이드렌더링(SSR)개발경험이있는분•원활한커뮤니케이션과협업능력을갖추신분",5,"• 다량의 트래픽을 처리한 경험이 있는 분, • React Native를 이용한 앱 개발 경험이 있으신 분, • AWS를 활용한 개발 경험이 있으신 분, • 웹 표준 및 웹 접근성에 능숙하신 분, • 웹 서비스 성능 최적화 및 UI/UX 위해 끊임없이 고민하고 연구하시는 분",https://www.wanted.co.kr/wd/188100
55,발란(BALAAN),"서울특별시 강남구 테헤란로 217 (역삼동, 오렌지플래닛) 9, 10F 발란",소프트웨어 엔지니어,"5년이상의백엔드개발경험이있는분•Node.js를활용한서비스개발및운영경험이있는분•컴퓨터공학전공혹은그에준하는전공및지식을보유하신분•E, Commerce서비스에대한운영및개발경험이있는분•최신E, Commerce의Architecture에관심과지식이있는분•대규모트래픽핸들링경험이있는분•AWS,GCP,Kubernetes등Cloud환경에서의서비스설계및구축,운영경험이있는분[기술스택]•발란몰, 프론트:plaincss&jquery,ejs, 백엔드:Node.js14,MongoDB,Redis,MariaDB,AWSS3•백오피스:Node.js14,Vue.js,Bootstrap, Vue,Nuxt.js,MongoDB,Redis,MariaDB,AWSS3•검색엔진:Elasticsearch•분석:GoogleAnalytics•코드관리:Github,BitBucket•IDE:WebStorm,PHPStorm,IntellijIDEA,PyCharm•Tools:NoSQLBooster,Heidisql,Xshell,WinMerge,Medis,Postman•커뮤니케이션:Slack,Notion,Confluence,Jira,서비스데스크•모니터링:CloudWatch,Opsnow,자체모니터링툴",5,"• Typescript 사용 경험 혹은 이해도가 있는 분, • 컴퓨터 공학 전공자로 자료구조, 네트워크, 운영체제, 알고리즘에 대한 이해가 있는 분, • E-Commerce 서비스에 대한 운영 및 개발 경험이 있는 분, • 모바일 웹뷰 기반 서비스 운영 경험이 있으신 분, • 백엔드 Unit/Integration/E2E 테스트 코드 작성 경험이 있으신 분, • CI/CD 환경 구축 or 운영 경험이 있으신 분, • MSA 설계 및 개발 경험이 있는 분, • Source Management System과 Branch Strategy 에 대한 이해가 깊으신분, • OAS(OpenAPI Specification) 기반의 개발 경험이 있으신 분, • 3년 이상 파트 리딩에 대한 경험이 있는 분",https://www.wanted.co.kr/wd/156443
56,한국포인트거래소,"서울 강남구 도산대로 237, 5층",소프트웨어 엔지니어," 블록체인과암호화폐를사랑하시는분, 5년이상의백엔드개발경험, Golang또는Node.js경험자, Github으로협업가능하신분",5,"- Go Ethereum (geth), Open Ethereum (parity) 또는 관련 프로젝트에 대한 경험이 있으신 분, - Solidity, Web3 개발 관련 경험이 있으신 분, - EVM 블록체인에 대한 이해가 있으신 분 (Ethereum, Polygon, 및 기타 관련 Layer1, Layer2 블록체인), - 백엔드 API와 관련 기술에 대한 이해가 있으신 분, - AWS DevOps 관련 이해가 있으신 분, - 블록체인, 크립토 관련 프로젝트 경험이 있으신 분, - Web3.js 또는 Ethers.js 경험이 있으신 분",https://www.wanted.co.kr/wd/109149
57,케이스마텍,서울시 금천구 가산디지털1로 168 우림라이온스밸리A동 1207호,소프트웨어 엔지니어,2년이상의Cloud인프라구축/운영경험을보유한분•2년이상의Kubernetes구축및운영경험을보유한분•LinuxServer운영및기본보안취약점조치경험을보유한분•ShellScript를활용하여간단한자동화배치진행이가능하신분•SE업무경력5년이상,5,"• 컴퓨터 관련학과 전공자 우대, • Cloud 자격증 보유, • ELK 운영 경험, • Jenkins, Nexus와 같은 배포 툴 운영 경험, • 팀 또는 파트, 프로젝트 빌드 경험",https://www.wanted.co.kr/wd/202754
58,어니컴,"용산구 두텁바위로 21, 어니컴빌딩 4층",소프트웨어 엔지니어,~5년실무경험이있으신분을찾습니다.•밝고긍정적인분•원할한소통가능및커뮤니케이션능력•새로운환경이나서비스에관심이많고도전을즐기시는분•빠르게변화하는환경에대한학습능력을겸비하신분•주도적이고능동적으로업무를수행하는분,1,"• 오픈소스(Redis, RabbitMQ, elk 등) 구축 및 운영 경험, • 퍼블릭 클라우드(Azure 등) 및 가상화(OpenStack, VMWare) 시스템 구축/운영 경험, • Linux(CentOS/Rocky/Ubuntu 등) 환경에서의 운영 경험, • Shell Script, docker 등을 활용하여 시스템 자동화를 경험",https://www.wanted.co.kr/wd/142345
59,크로스이엔에프,"서울특별시 강남구 강남대로 624, ICT TOWER 10층",소프트웨어 엔지니어,"Python에기반한서버개발경험5년이상혹은그에준하는분•Django,Tornado,Flask등Python웹프레임워크활용경험이있으신분•Ubuntu기반서버운영경험이있으신분",5,"• 금융 관련 서비스 운영 경험이 있으신 분, • 직접 API 설계가 가능하며, 성능 개선에 재미를 느끼시는 분 , • 개발 언어에 구애받지 않고 새로움에 흥미를 느끼며 업무를 하실 수 있는 분, • 멀티프로세스, 멀티스레드를 활용한 프로그래밍 경력이 있으신 분 , • 대용량 요청 처리 경험이 있으신 분 , • 일상 영어 활용이 가능하신 분, • 각종 서드파티 API 들을 활용하여 많은 응용을 하실 수 있으신 분 , • 성장하고 있는 회사 및 팀에서 많은 기여를 하고 싶은 욕심이 있으신 분, • 우리의 프로덕트를 내 아이처럼 소중히 대할 수 있는 분",https://www.wanted.co.kr/wd/153489
60,브랜디(Brandi),대한민국 서울특별시 성동구 성수1가제2동 KD타워,소프트웨어 엔지니어,"4년이상의퍼블릭클라우드설계,구축,운영경험을보유하신분•InfrastructureasCode를이해하고구현할수있는분(Terraform,Packer,Helm)•스크립트작성또는코딩기술을보유한분(Python,Bash등)컨테이너및컨테이너오케스트레이션환경에대한이해가있으신분•GitOps,AWSCodeSeries,ArgoCD등개발, 빌드, 배포파이프라인과관련된다양한도구들의구성및활용경험이있으신분•리눅스,데이터베이스,스토리지,분산시스템,네트워크등인프라환경구성요소들에대한기본적인이해가있으신분•장애발생시,장애대응및재발방지를위한다양한경험을가지신분•반복적인업무의자동화및효율적인운영환경을구축하여불필요한리소스를절감한경험이있으신분",4,"• 클라우드 기반 대규모 서비스 구축/운영 과정에서 발생하는 문제를 구조적으로 해결해본 경험이 있는 분, • Terraform, Helm, Packer 등 다양한 도구를 활용해 인프라 구성을 자동화해본 경험이 있으신 분, • 마이크로서비스 아키텍처 구성 및 운영 경험이 있으신 분, • Kubernetes와 Istio를 활용하여 서비스를 운영이 가능하신 분, • 빠른 문제해결 능력으로 서비스 안정적으로 운영한 경험이 있는 분",https://www.wanted.co.kr/wd/202726
61,프라이데이즈랩(Retentics),서초구 강남대로 53길 8,소프트웨어 엔지니어,"백엔드개발자로이런분을찾아요]#자격요건•최소3년이상의Web, base프러덕개발혹은MLops경력이있으신분•Docker등컨테이너기반환경의서비스배포경험혹은이해가있으신분•고객의관점에서생각하고고객의경험을우선시하여개발하시는분",3,"[이런 경험이 있으신 분이면 더 좋아요], #우대 사항, • 영어 커뮤니케이션이 가능하신 분, • Python을 이용한 백엔드 서버 개발 경험이 있으신 분, • 데이터 분석, 마케팅 솔루션, 이커머스 등 리텐틱스 비즈니스 도메인에 대한 이해도 혹은 관련된 근무 경험이 있으신 분, • AWS S3, Azure 등 클라우드 컴퓨팅을 활용한 개발 경험 및 클라우드 기반 웹 서비스에 대한 이해가 있으신 분, • Serverless를 사용하여 배포한 경험이 있으신 분 , • Pandas, Numpy 등 데이터 분석 라이브러리 사용 경험이 있으신 분 , • 깊은 고민으로 문제의 root에서 부터 해결책을 모색하시는 분, , , , #리텐틱스의 기술 스택, • 백엔드 개발에서는 주로 Python 혹은 Go를 사용합니다., • 데이터 처리/분석 라이브러리는 Pandas, NumPy를 사용합니다., • 프레임워크는 AWS Lambda로 대체하여 사용합니다., • 클라우드 환경은 AWS S3 를 사용합니다. , • 데이터 베이스는 PostgreSQL을 사용합니다.",https://www.wanted.co.kr/wd/198197
62,헤세그,서울시 서초구 매헌로6길 15 두루빌딩 4층,소프트웨어 엔지니어," 5년이상경력을쌓으신분, Go(golang)개발이익숙하신분, 이더리움노드를운영해본경험이있으신분, RDBMS와같은관계형데이터베이스를구축해보신분, Docker사용경험이있으신분, 대용량트래픽서버개발경험이있으신분",4,"• Cosmos SDK에 대한 이해도가 있으신 분, • 블록체인 개발 경험이 있으신 분 혹은 관련 지식을 보유하신 분, • gRPC를 활용한 개발 경험이 있으신 분, • Web, WAS Server 세팅 및 운영이 가능하신 분, • 팀원과의 원활한 의사소통을 즐겁게 하실 수 있는 분, • 개발팀과 함께 새로운 분야에 도전하고 배우며 성장하고자 하시는 분, • 자유롭고 수평적인 분위기를 지향하여 자기개발을 위한 자기주도 학습을 함께하시는 분",https://www.wanted.co.kr/wd/200434
63,만나컴퍼니,서울시 구로구 디지털로32길 407호,소프트웨어 엔지니어,"웹프론트엔드실무경험이5년이상인분•RESTAPI를활용한Web개발경험이있으신분•ReactJS,TypeScript에대한실무경험과이해가있는분•Unit/E2E테스트작성및배포자동화경험이있는분•프로젝트구조와디자인패턴에대한기준이있으신분•서버사이드렌더링(SSR)개발경험이있는분•원활한커뮤니케이션과협업능력을갖추신분",5,"• 다량의 트래픽을 처리한 경험이 있는 분, • React Native를 이용한 앱 개발 경험이 있으신 분, • AWS를 활용한 개발 경험이 있으신 분, • 웹 표준 및 웹 접근성에 능숙하신 분, • 웹 서비스 성능 최적화 및 UI/UX 위해 끊임없이 고민하고 연구하시는 분",https://www.wanted.co.kr/wd/188100
64,발란(BALAAN),"서울특별시 강남구 테헤란로 217 (역삼동, 오렌지플래닛) 9, 10F 발란",소프트웨어 엔지니어,"5년이상의백엔드개발경험이있는분•Node.js를활용한서비스개발및운영경험이있는분•컴퓨터공학전공혹은그에준하는전공및지식을보유하신분•E, Commerce서비스에대한운영및개발경험이있는분•최신E, Commerce의Architecture에관심과지식이있는분•대규모트래픽핸들링경험이있는분•AWS,GCP,Kubernetes등Cloud환경에서의서비스설계및구축,운영경험이있는분[기술스택]•발란몰, 프론트:plaincss&jquery,ejs, 백엔드:Node.js14,MongoDB,Redis,MariaDB,AWSS3•백오피스:Node.js14,Vue.js,Bootstrap, Vue,Nuxt.js,MongoDB,Redis,MariaDB,AWSS3•검색엔진:Elasticsearch•분석:GoogleAnalytics•코드관리:Github,BitBucket•IDE:WebStorm,PHPStorm,IntellijIDEA,PyCharm•Tools:NoSQLBooster,Heidisql,Xshell,WinMerge,Medis,Postman•커뮤니케이션:Slack,Notion,Confluence,Jira,서비스데스크•모니터링:CloudWatch,Opsnow,자체모니터링툴",5,"• Typescript 사용 경험 혹은 이해도가 있는 분, • 컴퓨터 공학 전공자로 자료구조, 네트워크, 운영체제, 알고리즘에 대한 이해가 있는 분, • E-Commerce 서비스에 대한 운영 및 개발 경험이 있는 분, • 모바일 웹뷰 기반 서비스 운영 경험이 있으신 분, • 백엔드 Unit/Integration/E2E 테스트 코드 작성 경험이 있으신 분, • CI/CD 환경 구축 or 운영 경험이 있으신 분, • MSA 설계 및 개발 경험이 있는 분, • Source Management System과 Branch Strategy 에 대한 이해가 깊으신분, • OAS(OpenAPI Specification) 기반의 개발 경험이 있으신 분, • 3년 이상 파트 리딩에 대한 경험이 있는 분",https://www.wanted.co.kr/wd/156443
65,한국포인트거래소,"서울 강남구 도산대로 237, 5층",소프트웨어 엔지니어," 블록체인과암호화폐를사랑하시는분, 5년이상의백엔드개발경험, Golang또는Node.js경험자, Github으로협업가능하신분",5,"- Go Ethereum (geth), Open Ethereum (parity) 또는 관련 프로젝트에 대한 경험이 있으신 분, - Solidity, Web3 개발 관련 경험이 있으신 분, - EVM 블록체인에 대한 이해가 있으신 분 (Ethereum, Polygon, 및 기타 관련 Layer1, Layer2 블록체인), - 백엔드 API와 관련 기술에 대한 이해가 있으신 분, - AWS DevOps 관련 이해가 있으신 분, - 블록체인, 크립토 관련 프로젝트 경험이 있으신 분, - Web3.js 또는 Ethers.js 경험이 있으신 분",https://www.wanted.co.kr/wd/109149
66,케이스마텍,서울시 금천구 가산디지털1로 168 우림라이온스밸리A동 1207호,소프트웨어 엔지니어,2년이상의Cloud인프라구축/운영경험을보유한분•2년이상의Kubernetes구축및운영경험을보유한분•LinuxServer운영및기본보안취약점조치경험을보유한분•ShellScript를활용하여간단한자동화배치진행이가능하신분•SE업무경력5년이상,5,"• 컴퓨터 관련학과 전공자 우대, • Cloud 자격증 보유, • ELK 운영 경험, • Jenkins, Nexus와 같은 배포 툴 운영 경험, • 팀 또는 파트, 프로젝트 빌드 경험",https://www.wanted.co.kr/wd/202754
67,어니컴,"용산구 두텁바위로 21, 어니컴빌딩 4층",소프트웨어 엔지니어,~5년실무경험이있으신분을찾습니다.•밝고긍정적인분•원할한소통가능및커뮤니케이션능력•새로운환경이나서비스에관심이많고도전을즐기시는분•빠르게변화하는환경에대한학습능력을겸비하신분•주도적이고능동적으로업무를수행하는분,1,"• 오픈소스(Redis, RabbitMQ, elk 등) 구축 및 운영 경험, • 퍼블릭 클라우드(Azure 등) 및 가상화(OpenStack, VMWare) 시스템 구축/운영 경험, • Linux(CentOS/Rocky/Ubuntu 등) 환경에서의 운영 경험, • Shell Script, docker 등을 활용하여 시스템 자동화를 경험",https://www.wanted.co.kr/wd/142345
68,크로스이엔에프,"서울특별시 강남구 강남대로 624, ICT TOWER 10층",소프트웨어 엔지니어,"Python에기반한서버개발경험5년이상혹은그에준하는분•Django,Tornado,Flask등Python웹프레임워크활용경험이있으신분•Ubuntu기반서버운영경험이있으신분",5,"• 금융 관련 서비스 운영 경험이 있으신 분, • 직접 API 설계가 가능하며, 성능 개선에 재미를 느끼시는 분 , • 개발 언어에 구애받지 않고 새로움에 흥미를 느끼며 업무를 하실 수 있는 분, • 멀티프로세스, 멀티스레드를 활용한 프로그래밍 경력이 있으신 분 , • 대용량 요청 처리 경험이 있으신 분 , • 일상 영어 활용이 가능하신 분, • 각종 서드파티 API 들을 활용하여 많은 응용을 하실 수 있으신 분 , • 성장하고 있는 회사 및 팀에서 많은 기여를 하고 싶은 욕심이 있으신 분, • 우리의 프로덕트를 내 아이처럼 소중히 대할 수 있는 분",https://www.wanted.co.kr/wd/153489
69,피피비스튜디오스(PPB Studios Co.),성동구 성수일로 19,소프트웨어 엔지니어,"4년제프로그래밍관련학과졸업•관련업무10년이상근무•Javascript기초,JSON에대한이해•git사용기초및팀단위로코드관리를해본경험•RESTAPI및ajax사용에대한이해•Testcase작성에거부감없으신분•PairProgramming에대한긍정적인이해•async,await에대한이해,비동기이해",10,"• aws 중 ec2, s3, amplify, lambda 등 주요서비스 1개 이상 능숙하신 분, • SPA (vue, react, angular) 유경험자 (Frontend), • node, RoR, Django 유경험자 (Backend), • 퍼블리싱 가능자",https://www.wanted.co.kr/wd/207257
70,오늘의작업장,"금천구 가산디지털1로 142, 더스카이밸리1차 1307호",소프트웨어 엔지니어,".경력:경력4년이상2.실제운영중인서비스개발,운영,관리해본경험이풍부하신분3.MySQL에대한이해가높으시고데이터모델링,설계가가능하신분4.Node.js,Express프레임워크,Socket.IO를이용하여개발한경험이있으신분5.AWS환경에서서버를구축하고관리한경험이있으신분6.Git을이용하여효율적인버전관리가가능하신분",4,"1. SQL 쿼리 성능 분석, 쿼리 튜닝이 가능하신 분 , 2. Angular.js 프레임워크를 이용한 개발 경험이 있으신 분, 3. Redis 사용 경험이 있으신 분",https://www.wanted.co.kr/wd/203301
71,엔비티(NBT),"서울특별시 서초구 서초대로38길 12, 마제스타시티 타워1 14층",소프트웨어 엔지니어,"프론트엔드개발실무6년이상또는그에준하는역량을보유하신분•ES6+등최신JavaScript,TypeScript능숙하게사용하시는분•HTML,SCSS를포함한마크업에대한이해가있으신분•웹API(또는RESTfulAPI)클라이언트개발경험및이해도가있으신분",6,"• 모바일 광고, 특히 AdTech에 대한 경험이 있으신 분, • 리포팅 시스템 개발 경험이 있으신 분, • React, Vue 기반 웹 서비스 또는 SPA 개발 경험 경험이 있으신 분, • 상태 관리, 비동기 처리 경험이 있으신 분, • 빠른 실행과 반복적인 개선에 능하신 분",https://www.wanted.co.kr/wd/177102
72,누리랩,"서울 영등포구 영신로 220, 1306호",소프트웨어 엔지니어,학력:학력무관,2,"ㆍ병역특례 (보충역) 가능, ㆍC/C++ 또는 JAVA 프로그래밍 가능, ㆍ취약점 분석 경험, ㆍWindows 바이너리 분석 경험, ㆍLinux 바이너리 분석 경험, ㆍ보안 동아리 활동 및 해킹대회 참여 경험",https://www.wanted.co.kr/wd/201697
73,에프랩앤컴퍼니,"강남구 역삼로172, 마루360",소프트웨어 엔지니어,경력5년이상이신분.•Spring계열의기술에능숙하신분.•AWS인프라에능숙하신분.•문제를풀기위해서라면어떤기술이라도학습하여사용할의지가있으신분.•프로덕트관점의마인드와오너쉽이있으신분,5,"• 백엔드 뿐 아니라 다양한 분야의 개발 경험이 있으신 분, • 기술 자체를 중요시 하기보단 문제를 해결하는데에 기술을 활용하시는 분, • 개발 팀 리딩 경험이 있으신 분, • 네이버, 카카오 등 빅테크 경력이 있으신 분",https://www.wanted.co.kr/wd/191910
74,엑스브레인(XBRAIN),강남구 역삼로 168 (팁스타운S6 5층),소프트웨어 엔지니어,"컴퓨터공학과졸업혹은서비스개발실무3년이상•언어:Python,JS/TS•Django,FastAPI,Flask,Spring와같은HTTPAPI를개발한경험•React,Angular,Vue와같은WebFrontend를개발한경험•애자일및스크럼문화에대한경험",2,"• OpenCV를 사용한 이미지 프로세싱에 대한 경험, • numpy/pandas를 사용한 데이터 분석 경험",https://www.wanted.co.kr/wd/190641
75,법틀,"성동구 아차산로17길 49 데시앙플렉스 901,902호",소프트웨어 엔지니어," 5년이상7년이하의소프트웨어개발자경력, Junior팀원들에게본인의경험과지식을공유하여야합니다., Java/Vuejs/HTML/Javascript/Jquery/Python/PostgreSQL/MSSQL/Oracle등DB기반기술에대한이해와경험, 각종legacy시스템과의연동.웹서비스,API설계및개발",5,"- Refactoring 경험, ORM, DB 모델링, 설계 능력, - 팀 운영 프로세스 설계 및 동료들 간의 원활한 커뮤니케이션 능력, - Docker 기반 컨테이너 인프라 경험 우대",https://www.wanted.co.kr/wd/166030
76,약손명가헬스케어,강남구 영동대로142길 27 B01,소프트웨어 엔지니어,대졸이상•5년이상•JAVA능숙자,5,"• 자바 개발 경험이 있으신 분, • 웹/앱 어플리케이션 개발 경험이 있으신 분, • 서비스의 초기 설계부터 개발, 출시, 운영의 경험이 있으신 분, • AWS 환경에서 개발 경험이 있으신 분",https://www.wanted.co.kr/wd/194494
77,코넥티브,서울특별시 강남구 역삼로 160,소프트웨어 엔지니어," 컴퓨터공학관련이공계학사이상이신분, 의료데이터를이용한데이터경험이있으신분, 형상관리툴사용가능하신분, 업무시원활하고원만한의사소통이가능하신분, 자기주도적으로목표를수립하고업무가가능하신분",5,"- 관련 경력 5년 이상이신 분, - 의료분야 연구 및 논문 작성 경험이 있으신 분, - 디지털 헬스케어 분야 및 스타트업 근무 경력이 있으신 분, - 의료영상처리 관련 경력이 있으신 분, - Python 기반의 Backend 환경 개발이 가능하신 분, - AWS 환경에서 배포 및 관리 경험이 있으신 분, - 다양한 개발환경 경험이 있으신 분",https://www.wanted.co.kr/wd/196688
78,마이크로프로텍트,"금천구 가산디지털2로 35, 6층(가산동, 지엔텍잔카드림타워)",소프트웨어 엔지니어,"빅데이터연구에필요한각종웹,앱의데이터를가져온경험이있으신분•패킷정보를분석한경험이있으신분•디바이스시스템접근경험이있으신분•네트워크에대한지식이있으신분•파이썬경험이있으신분",3,"• 팀웍 및 소통을 중요하게 생각하시는 분, • 금융 및 보험 인더스트리 경력이 있으신 분, • 스타트업 근무 경력이 있으신 분",https://www.wanted.co.kr/wd/205810
79,엔비티(NBT),"서울특별시 서초구 서초대로38길 12, 마제스타시티 타워1 14층",소프트웨어 엔지니어,"백엔드개발,운영실무6년이상또는그에준하는역량을보유하신분•RESTfulAPI에대한경험및이해도가있으신분•외부서비스또는조직이제공하는API를명세서에따라내부시스템과연동해본경험이있으신분•대용량트래픽서비스를개발및운영을해본경험이있으신분•RDBMS,NoSQL,Redis등대용량데이터를위한스토리지경험이있으신분",6,"• 모바일 광고, 특히 AdTech에 대한 경험이 있으신 분, • Ruby on Rails, Spring/Kotlin 기반 서버 개발 경험이 있으신 분, • 비즈니스 요구 사항을 만족시켜주는 서비스를 개발 및 운영해 보신 분, • 클라우드(AWS, GCP) 환경 개발 경험이 있으신 분, • 빠른 실행과 반복적인 개선에 능하신 분",https://www.wanted.co.kr/wd/177555
80,피에로컴퍼니,"서울특별시 강남구 선릉로 112길 37, 3층 301호",소프트웨어 엔지니어,"백엔드개발경력5년이상이며팀리딩경험을보유한분•SQL쿼리튜닝등데이터베이스성능향상경험이있으신분•AWS를이용한인프라운영경험이있으신분•효율적인코드아키텍쳐를구상하고가독성뛰어난코드작성에능하신분•RDBMS,NoSQL등데이터베이스에대한이해와데이터모델링경험이있으신분•코드리뷰와테스트코드작성능력이있으신분",5,"• BM을 이해하고 개발 환경을 구축해 본 경험이 있으신 분, • 머신러닝, 딥러닝, AI를 활용하여 신용평가모델 개발 경험이 있으신 분, • CRM/ERP 등 B2B 서비스 개발 경험이 있으신 분, • Python 기반의 Web Framework를 사용해 보신 분(Django, Flask, FastAPI), • 분산 환경에서 메시지 큐를 활용하여 비동기 작업을 정의하고 구현해보신 분, • PostgresSQL을 이용하여 Replication, Failover 등 Database에 관해 깊이 운영해 보신 분",https://www.wanted.co.kr/wd/198047
81,제이앤피메디(JNPMEDI),"연수구 컨벤시아대로 165, 포스코타워 31층",소프트웨어 엔지니어,"웹서비스개발경력이1년이상인분또는그에상응하는경험이있는분•스타트업조직문화경험이있거나,새롭게만들어가는과정에거리낌없이도전적인분•(FE)한가지이상의Framework에대해서동작방식을이해하고설명할수있는분•(BE)한가지언어이상으로웹서비스를주도적으로설계하고개발할수있는분",0,"• (FE) 반응형웹, 웹 표준을 고려한 UI 개발 경험이 있는 분, • (BE) 대규모 웹 서비스 설계 및 개발 경험이 있는 분, • 서비스를 주도적으로 개선하는 일을 좋아하는 분, • 임상시험 관련 도메인 지식이 있는 분",https://www.wanted.co.kr/wd/169422
82,마켓디자이너스,"서울특별시 강남구 테헤란로7길 12, 3층 (역삼동, 허바허바빌딩)",소프트웨어 엔지니어,이런분을찾고있어요!＞•React와Next.js에대한이해도가높으신분•Frontend개발경력4년이상이신분•Typescript개발에능숙하신분•웹뷰개발에익숙하신분•디자인시스템을기반으로컴포넌트라이브러리를개발한경험이있으신분,1,"＜이런 것들 중 일부를 경험하신 분이면 더 좋겠어요!＞, • REST API 설계 경험이 있으신분, • SSR 프레임워크에 대한 경험이 있으신분, • StroyBook 을 활용하여 디자인 시스템을 구축해본 경험이 있으신분, • Cypress, Playwright 와 같은 E2E에 대한 경험이 있으신분, • 최신 기술에 대한 높은 관심을 가지고 탐구하는 분, • 우수한 웹 접근성을 제공하고 웹최적화를 통해 성능 좋은 서비스 개발에 관심이 있으신분, , , [ Interview Process ], • 서류접수 ＞ 사전과제  ＞  인터뷰 1차  ＞  인터뷰 2차  ＞  최종합격,   - 서류전형, 인터뷰전형의 결과안내는 1주~2주 소요될 수 있습니다., , , [근무조건], • 근무형태 : 정규직 (3-6개월 시용기간 후, 정규직 전환 여부 검토) , • 서울 강남구 테헤란로 7길 12 허바허바빌딩 3층(역삼동), , , !!구성원 및 조직문화!!, , • Core Value(핵심가치),   - Accountability (감당할 수 있는 책임감과 역량),   - Progress (진보, 변화, 도전, 성장, 목표 중심, 성취 지향),   - Professionalism (업계 최고의 전문성),   - Team work (소통, 다양성, 의사 결정에 대한 존중, 추진력), , • Mission / Vision ,   - Misson : 누구나 언어의 장벽없이 새로운 세상을 만나게 한다.,   - Vision : 외국어 교육의 새로운 기준이 되는 글로벌 AI 테크 플랫폼, , • 튜터링 사업부 조직은 이렇게 일해요!,   - 튜터링 사업부 크루는 디지털 교육경험을 혁신하여 꿈을 현실로 만드는 사람들입니다.,   - 우리는 디지털 플랫폼 기술과 교육을 접목시켜, 경제력이 교육을 지배하지 않는 세상을 목표로 합니다.",https://www.wanted.co.kr/wd/178162
83,더블유클럽,"서울특별시 강남구 테헤란로2길 27, 15층",소프트웨어 엔지니어,"3년이상의개발팀매니징/리딩경험•Node.js,TypeScript,Flutter개발환경의경험이있으신분•AWS환경에서일한경험이있으신분•요구사항을파악하여데이터모델과시스템을설계한경험이있으신분•컴퓨터공학전공혹은그에준하는전공및지식보유자",4,"• 웹/앱 서비스 개발 경험 5년 이상, • Node.js,Typescript 백엔드 개발 유경험자, • Nest, Next, React Native, React 유경험자, • Redis, Kafka 활용 유경험자, • MSA 기반 개발 유경험자, • 스타트업 및 IT기업에서의 경험이 있으신 분",https://www.wanted.co.kr/wd/191442
84,모라이(MORAI),"서울시 강남구 테헤란로 78번길 16, 7층",소프트웨어 엔지니어,"자율주행알고리즘(인지/판단/제어)분야에대한이해도가있으신분(특히판단알고리즘에대한숙련도)•컴퓨터공학,소프트웨어공학및최적화알고리즘에대한숙련도가있으신분•시나리오표준규격에대한이해도가있으신분•여러프로그램의비동기상호작용으로인한복잡한SW버그해결능력을갖추신분",1,"• C++, Python, C#, Git, Jira, UnitTest, Ubuntu, Jenkins, Visual Studio / VS Code, Unreal Engine 최소 3개 이상 사용해 보신 분, • 컴퓨터 공학, 기계공학(자동차, 로봇, 항공 등) 석사 이상의 학위가 있으신 분, • 영어 논문 읽기 및 쓰기가 가능하신 분",https://www.wanted.co.kr/wd/151105
85,소셜인프라테크,서울특별시 강남구 테헤란로 70길 13(보성빌딩) 5층,소프트웨어 엔지니어,"백엔드경력2년이상또는Node.js,Typescript,Python중하나이상에능숙하신분•RESTAPI/RPC와컴퓨터네트워크에대한이해가높으신분•클라우드기반(AWS)서비스를이용한개발에익숙하신분•Linux서버개발환경에익숙하신분•동료들과원활하게협업할수있는커뮤니케이션역량을보유하신분•복잡하고,불명확한상황에서유연한생각으로팀과함께소통하면문제를정의하고해결할수있는분",2,"• 새로운 언어나 기술을 학습하여 적용이 가능한 분, • NoSQL을 이용한 대용량 데이터 처리 경험이 있으신 분, • 대용량 트래픽 처리 관련 경험이 있으신 분, • 마이크로서비스 아키텍쳐 개발 경험이 있으신 분, • RDS 테이블 설계/개발 경험이 있으신 분, • 블록체인 기술에 대한 관심과 이해가 있으신 분, • 자신이 보유한 지식과 경험을 공유하고 동료들의 성장에 도움을 줄 수 있는 분",https://www.wanted.co.kr/wd/155905
