,기업명,주소,직무,자격요건,직급,이용하는기술스택/우대사항,해당 페이지 URL
897,팹(PAP),서울특별시 서초구 양재천로19길 14,자바 개발자,"백엔드개발7년이상경험있으신분•Java/Kotlin프로그래밍언어전문성을보유하신분•SpringBoot(SpringMVC,SpringDataJPA)을통한개발경험이있으신분•Git,Docker,GithubAction,Gradle등사용에어려움이없으신분•AWS(S3,CloudFront,lambda,SQS,Glue)경험있으신분[팹기술스택], Nest.js(Deprecated), Kotlin,Gradle, SpringBoot(SpringMVC,SpringDataJPA), JPA/Hibernate,MySQL(Aurora),Redis,Elasticsearch, Elasticbeanstalk(Docker), AWS(S3,CloudFront,lambda,SQS,Glue), Git,Docker,GithubAction",7,"• Kubernetes, Istio, Terraform 경험있으신 분, • 더 견고하고 지속가능한 방향으로의 서버 구조 구현에 관심 있으신 분, • 빠른 개발이 아닌 정확하고 예측 가능한 개발에 더 집중하고 싶으신 분, • 가까운 미래에도 먼 미래에도 통용되는 기본기 있는 모델링에 관심 있으신 분",https://www.wanted.co.kr/wd/205880
898,배움,서울특별시 강남구 언주로 727,자바 개발자,"Java,Spring,SpringBoot,Restful을이용한개발유경험자(5년이상)•클라우드컴퓨팅기반의서비스개발유경험자•자동화배포프로세스(CI/CD)구축유경험자•실제최소3명이상의팀리딩유경험자•프론트엔드개발자,디자이너등동료와협업/커뮤니케이션능숙자",10,"• 교육 도메인(서비스 또는 플랫폼)에 대한 유경험자, • 컴퓨터/SW 관련 학부 졸업자",https://www.wanted.co.kr/wd/197081
899,핌아시아,"서울시 강남구 테헤란로114길 16, 3층",자바 개발자,".직급:과장~차장2.경력:7년이상3.개발환경•React.js,HTML/CSS•X, Javascript,Webpack,Babel,redux4.자격요건•Java/Kotlin/Spring/JPA기반의소프트웨어개발경험이있으신분•7년이상의서비스개발/운영경력이있으신분•데이터구조에대한기본적인지식이있으신분•MySQL/PostgreSQL기반의데이터베이스를활용한개발경험이있으신분•RESTAPI개발경험이있으신분•업무에대한백로그및우선순위관리가가능하신분",7,"• 온라인 커머스의 환경에서 회원, 상품, 주문 등 관련 도메인은 개발 경험이 있으신 분, • AWS 기반의 클라우드 환경에서 서비스 개발/운영 경험이 있으신 분, • Test Case를 의미있게 활용하시는 분, • 대규모 서비스 설계, 구축, 운영 경험이 있으신 분, • MongoDB 등 NoSQL 을 이용한 서비스 개발 및 운영 경험이 있으신 분, • 비즈니스 기반 DB 모델링 경험이 있으신 분",https://www.wanted.co.kr/wd/201714
900,모두의봄,서울특별시 마포구 마포대로78(경찰공제회자람빌딩) 15층,자바 개발자,Java기반웹관련경력10년이상인분•프로젝트기획단계부터DB설계를진행해보신분•RESTApi설계및개발경력5년이상인분•SpringFramework활용기간5년이상인분,5,"• 비정형 DB 경험자, • Amazon Web Service 경험자, • Querydsl, JPA 경험자",https://www.wanted.co.kr/wd/206288
901,만나플래닛,"서울시 구로구 경인로661, 101동 15층",자바 개발자,5년이상JAVA개발경험을가지신분ㆍ팀원들과원할한커뮤니케이션이가능하신분ㆍ스스로할일을정하고문제를해결할수있으신분,5,"ㆍRest API를 이해하고 API를 개발할 수 있는 분, ㆍGit, redmine 등의 협업 도구 사용에 익숙하신 분, ㆍ다양한 언어와 프레임워크를 경험해 보신 분 , ㆍ최신 기술 트렌드 적용 및 공유에 관심이 많으신 분 , ㆍ코드 리뷰에 적극 참여하시는 분",https://www.wanted.co.kr/wd/206244
902,에이블제이,성남시 분당구 대왕판교로645번길 12 8층,자바 개발자,"JavaScript및Node.js에대한깊은이해•Express.js또는Nest.js를활용한백엔드개발경험•RESTfulAPI설계및구현경험•데이터베이스스키마설계및최적화경험•서버성능최적화및스케일링에대한경험•클라우드서비스(AWS,Azure,GCP등)활용경험•Git을활용한협업경험•팀원과의원활한커뮤니케이션능력•새로운기술에대한호기심및끊임없는학습의지",3,"• 웹 서비스 개발 및 운영 경험 5년 이상, • 글로벌 온라인 서비스 개발 및 운영, • 공학계열, 컴퓨터/시스템공학전공",https://www.wanted.co.kr/wd/192034
903,웰로,"서울시 관악구 남부순환로 1933, 8층",자바 개발자,"5년이상혹은그에준하는백엔드개발경험•Java/SpringBoot에대한높은이해를가지신분•RDB설계및SQL쿼리작성이능숙하신분•RESTAPI시스템설계및개발이능숙하신분•JPA/Hibernate등ORM기반객체모델링및실무사용경험이있으신분[기술스택], 언어:Java, 프레임워크:Springboot, DB:Mysql,Redis,DynamoDB, ORM:JPA,QueryDsl, 클라우드:AWS, CI/CD:Jenkins, 협업툴:Swagger,Git(GitFlow),Notion,Slack,Asana,Figma, Observability:WhaTap",5,"• 스타트업 회사에서 업무 경력, • 컴퓨터공학(소프트웨어공학) 전공, • HTML5, CSS, Javascript(ES6+), • Swagger를 이용한 REST API 개발 경험, • Jenkins 사용경험이 있으신분, • 클라우드 환경에서의 개발, 운영 경험이 있으신분, • Multi Module 프로젝트 개발경험이 있으신 분, • 정부 정책/사업에 관심이 있으신 분",https://www.wanted.co.kr/wd/170530
904,마더브레인(Motherbrain),"서울 서초구 서초대로 77길 54, 15,16층 (서초더블유타워)",자바 개발자," 직급:과장/차장급(경력8년이상), 학력:무관, 전공:무관•필요경력, 광고API를통한데이터수집및시각화개발, 빅데이터저장및통계분석개발, 빅데이터시각화개발, MSA아키텍처와클라우드(AWS)환경개발경험•필요역량, JavaSpringBoot를활용한API설계및개발, ElasticSearch,OpenSearch(AWS)를활용한비정형데이터분석, RDBMS(MySQL,MariaDB)설계및통계SQL경험, Python데이터크롤링및Flask를활용한API개발",8,"• Vuejs를 이용한 데이터 시각화 경험, • AWS 인프라 및 클라우드 서버 운영, • 신기술 습득과 적용에 능숙하신 분",https://www.wanted.co.kr/wd/200319
905,아하앤컴퍼니,"서울특별시 강남구 테헤란로 79길 6, 4층 (제이에스타워)",자바 개발자,"Android개발경력3년이상또는그에준하는실력을갖추신분•JAVA/Kotlin기반의프로젝트개발경험혹은빠르게습득할수있는능력•AndroidPlatform에대한폭넓은이해를보유하신분•AndroidJetpack을이용한개발경험이있으신분•Reactive프로그래밍에대한이해및KotlinCoroutines사용경험보유•서버,기획,디자인등다양한직군이동료들과원활하게소통하고적극적으로협업하실수있는분",3,"• 유닛 테스트 및 UI 테스트 작성 경험, • 코드 개선 및 코드 리뷰에 적극 참여하시는 분, • 클린 아키텍처에 대한 이해 및 프로젝트 적용 경험 보유, • MVP, MVVM, MVC 등의 디자인 패턴 적용에 대한 경험, • Jetpack Compose 에 대한 관심과 경험, • 새로운 기술 습득과 지식 공유에 즐거움을 느끼시는 분, • 능동적으로 문제점을 찾고 해결하는 것을 즐기시는 분, • 웹뷰 기반의 앱에서 딥링크 처리를 경험해 보신 분",https://www.wanted.co.kr/wd/177879
906,어반데이터랩,서울시 종로구 창경궁로 240-7 2층,자바 개발자,"Backend프레임워크활용및개발경력4년이상경험혹은그에준하는실력•다양한Frontend, framework(Angular,Vue,React등)개발경험과이해•프레임워크활용개발환경구성경험자•SQL작성중급이상실력보유자•자체플랫폼구축또는대외SI프로젝트PL경험자",4,"• 웹서비스 환경 및 개발 프로세스에 대한 높은 이해를 가지신 분, • 팀을 이끌며 커뮤니케이션 능력 우수하신 분, • Cloud환경 경험 및 이해하고 계신분(AWS, NCP 등), • Python 개발경험 있으신분 (django, flask)",https://www.wanted.co.kr/wd/137522
