,기업명,설립연도,매출액,사원수,업종분류,기업규모,주소,기업 홈페이지 URL
184,캐논크래커,2021년 8월 10일,-,50 명 재직중,인터넷·포털·컨텐츠·게임,중소기업,"서울특별시 성동구 뚝섬로1길 63 (성수동1가,영창디지털타워) 11층지도보기",//www.cannoncracker.com
185,마카롱팩토리,2015년 3월 1일,"102억 3,093만원 (2022)",-,모바일·무선,중소기업,"경기도 성남시 수정구 대왕판교로 815 (시흥동,판교창조경제밸리 기업지원허브)지도보기",//macarong.net
186,레벨13,2017년 2월 21일,"55억 4,754만원 (2021)",24 명 재직중,소프트웨어·솔루션·ASP,중소기업,"서울특별시 마포구 동교로23길 32-22 501호(동교동,JC동교빌딩)지도보기",//www.lookpin.co.kr
187,프리윌린,2017년 3월 22일,"91억 3,477만원 (2022)",60 명 재직중,네트워크·통신,중소기업,"서울특별시 관악구 관악로 217 3F 프리윌린(봉천동,동진빌딩)지도보기",//www.mathflat.com
188,넥슨코리아,2005년 10월 11일,"2조 5,040억 1,322만원 (2022)","3,585 명 재직중",인터넷·포털·컨텐츠·게임,대기업,경기도 성남시 분당구 판교로256번길 7 넥슨 코리아지도보기,//company.nexon.com/
189,이터널,2021년 12월 17일,120억원 (2022),1 명 재직중,도매·상품중개,중소기업,"서울특별시 송파구 법원로9길 26 에이치비지니스파크 씨동 1011호, 1012호, 1013호, 1014호, 1015호 (문정동)지도보기",//etunnel.net/
190,크라우드웍스,2017년 4월 25일,"106억 8,913만원 (2022)",140 명 재직중,네트워크·통신,중소기업,"서울특별시 강남구 테헤란로 309 5층 (역삼동,삼성제일빌딩)지도보기",//www.crowdworks.ai
191,한국선불카드,2011년 6월 8일,"130억 4,004만원 (2022)",51 명 재직중,소프트웨어·솔루션·ASP,중소기업,"경기도 성남시 분당구 판교로 253 C동 404호 (삼평동,판교이노밸리)지도보기",//www.kpcard.co.kr
192,대교,1986년 12월 31일,-,"2,240 명 재직중",학원·학습지,중견기업,"서울 관악구 보라매로3길 23 (봉천동,대교타워)지도보기",//recruit.daekyo.com/
193,샌즈랩,2004년 11월 1일,"92억 9,953만원 (2022)",51 명 재직중,소프트웨어·솔루션·ASP,중소기업,"서울특별시 강남구 선릉로 577 4층 (역삼동,조선내화빌딩)지도보기",//www.sandslab.io
194,소만사,1997년 3월 25일,535억 140만원 (2022),329 명 재직중,소프트웨어·솔루션·ASP,중소기업,서울특별시 영등포구 영신로 220 (영등포동8가)지도보기,//www.somansa.com
195,에이지엘,2003년 9월 22일,"1,083억 7,397만원 (2022)",61 명 재직중,항공운송,중소기업,서울 강서구 염창동   우림블루나인 B동 608호 에이지엘지도보기,//www.agl.co.kr
196,아이브,2017년 6월 5일,114억원 (2021),29 명 재직중,도매·상품중개,중소기업,경기도 고양시 일산동구 일산로 138 일산테크노타운지도보기,//www.ivg.co.kr
197,플라잎,2020년 1월 29일,-,20 명 재직중,소프트웨어·솔루션·ASP,중소기업,"경기도 성남시 분당구 대왕판교로 660 (삼평동,유스페이스1) B동 901호지도보기",//www.plaif.com
198,인덴트코퍼레이션,2018년 11월 5일,"6억 3,740만원 (2022)",-,소프트웨어·솔루션·ASP,중소기업,,
